mode,b1,b2,b3,r1,r2,r3,y
knockout,GENE,LEON,R-T,BUSTER,COLT,PIPER,1
knockout,GENE,LEON,R-T,BUSTER,COLT,PIPER,1
heist,BELLE,COLETTE,COLT,BERRY,PIPER,SQUEAK,1
heist,BELLE,COLETTE,COLT,BERRY,PIPER,SQUEAK,1
heist,BELLE,COLETTE,COLT,BERRY,PIPER,SQUEAK,0
hotZone,BIBI,CHESTER,JESSIE,BARLEY,MEG,STU,1
hotZone,BIBI,CHESTER,JESSIE,BARLEY,MEG,STU,1
brawlBall,BARLEY,BIBI,CLANCY,DYNAMIKE,FRANK,GALE,0
brawlBall,BARLEY,BIBI,CLANCY,DYNAMIKE,FRANK,GALE,0
bounty,GRAY,NANI,R-T,ANGELO,BYRON,GUS,0
bounty,GRAY,NANI,R-T,ANGELO,BYRON,GUS,0
bounty,GENE,GRAY,MORTIS,MANDY,MAX,SPROUT,0
bounty,GENE,GRAY,MORTIS,MANDY,MAX,SPROUT,0
bounty,EVE,LEON,MEG,ANGELO,BERRY,LILY,1
bounty,EVE,LEON,MEG,ANGELO,BERRY,LILY,1
brawlBall,BERRY,GALE,MEG,BYRON,LARRY & LAWRIE,SANDY,0
brawlBall,BERRY,GALE,MEG,BYRON,LARRY & LAWRIE,SANDY,0
brawlBall,BERRY,GALE,MEG,BYRON,LARRY & LAWRIE,SANDY,1
bounty,BELLE,GUS,SPROUT,GENE,R-T,TICK,0
bounty,BELLE,GUS,SPROUT,GENE,R-T,TICK,0
hotZone,BROCK,BYRON,CHESTER,BARLEY,GALE,JESSIE,0
hotZone,BROCK,BYRON,CHESTER,BARLEY,GALE,JESSIE,0
knockout,BUSTER,MR. P,TICK,BYRON,DYNAMIKE,MORTIS,0
knockout,BUSTER,MR. P,TICK,BYRON,DYNAMIKE,MORTIS,0
knockout,BUSTER,MR. P,TICK,BYRON,DYNAMIKE,MORTIS,1
gemGrab,BYRON,CARL,GALE,COLETTE,GENE,SURGE,1
gemGrab,BYRON,CARL,GALE,COLETTE,GENE,SURGE,1
bounty,EVE,SPIKE,WILLOW,BERRY,COLT,KIT,1
bounty,EVE,SPIKE,WILLOW,BERRY,COLT,KIT,1
bounty,ANGELO,FRANK,TICK,EL PRIMO,EVE,LEON,0
bounty,ANGELO,FRANK,TICK,EL PRIMO,EVE,LEON,0
bounty,DYNAMIKE,LILY,SPROUT,ASH,FRANK,GENE,0
bounty,DYNAMIKE,LILY,SPROUT,ASH,FRANK,GENE,0
bounty,DYNAMIKE,LILY,SPROUT,ASH,FRANK,GENE,1
hotZone,CARL,DOUG,SURGE,COLETTE,MEG,STU,1
hotZone,CARL,DOUG,SURGE,COLETTE,MEG,STU,1
gemGrab,BUSTER,COLT,GALE,PIPER,SANDY,SURGE,1
gemGrab,BUSTER,COLT,GALE,PIPER,SANDY,SURGE,1
heist,JESSIE,MELODIE,NITA,COLETTE,DYNAMIKE,EMZ,1
heist,JESSIE,MELODIE,NITA,COLETTE,DYNAMIKE,EMZ,1
brawlBall,EDGAR,FRANK,RICO,COLETTE,MAX,SANDY,1
brawlBall,EDGAR,FRANK,RICO,COLETTE,MAX,SANDY,1
hotZone,CORDELIUS,GALE,MORTIS,DYNAMIKE,EL PRIMO,STU,1
hotZone,CORDELIUS,GALE,MORTIS,DYNAMIKE,EL PRIMO,STU,1
hotZone,CORDELIUS,GALE,MORTIS,DYNAMIKE,EL PRIMO,STU,0
hotZone,BARLEY,MEG,NITA,EL PRIMO,SPIKE,STU,1
hotZone,BARLEY,MEG,NITA,EL PRIMO,SPIKE,STU,1
knockout,BELLE,BROCK,PEARL,GENE,GRAY,MAX,0
knockout,BELLE,BROCK,PEARL,GENE,GRAY,MAX,0
hotZone,COLT,GALE,LEON,JESSIE,SPIKE,STU,1
hotZone,COLT,GALE,LEON,JESSIE,SPIKE,STU,1
hotZone,COLT,GALE,LEON,JESSIE,SPIKE,STU,0
knockout,GALE,LARRY & LAWRIE,TICK,EDGAR,GENE,PIPER,1
knockout,GALE,LARRY & LAWRIE,TICK,EDGAR,GENE,PIPER,1
hotZone,BARLEY,CORDELIUS,LOU,BERRY,BUZZ,GALE,0
hotZone,BARLEY,CORDELIUS,LOU,BERRY,BUZZ,GALE,1
hotZone,BARLEY,CORDELIUS,LOU,BERRY,BUZZ,GALE,0
bounty,GALE,LARRY & LAWRIE,MR. P,BARLEY,JACKY,SURGE,1
bounty,GALE,LARRY & LAWRIE,MR. P,BARLEY,JACKY,SURGE,1
gemGrab,BYRON,MEG,SPIKE,BELLE,GRIFF,MAX,1
gemGrab,BYRON,MEG,SPIKE,BELLE,GRIFF,MAX,1
gemGrab,BYRON,MEG,SPIKE,BELLE,GRIFF,MAX,0
bounty,COLETTE,SANDY,TICK,DYNAMIKE,MEG,MICO,1
bounty,COLETTE,SANDY,TICK,DYNAMIKE,MEG,MICO,1
knockout,MANDY,PIPER,SHELLY,MORTIS,RICO,SPROUT,0
knockout,MANDY,PIPER,SHELLY,MORTIS,RICO,SPROUT,0
bounty,BYRON,LEON,PIPER,COLT,GENE,MANDY,1
bounty,BYRON,LEON,PIPER,COLT,GENE,MANDY,1
heist,BELLE,JESSIE,MANDY,BUZZ,COLT,PIPER,1
heist,BELLE,JESSIE,MANDY,BUZZ,COLT,PIPER,1
heist,ANGELO,MELODIE,PIPER,8-BIT,CLANCY,COLT,0
heist,ANGELO,MELODIE,PIPER,8-BIT,CLANCY,COLT,0
hotZone,BARLEY,JESSIE,MEG,CHESTER,CLANCY,FANG,0
hotZone,BARLEY,JESSIE,MEG,CHESTER,CLANCY,FANG,0
knockout,ANGELO,BELLE,SPROUT,BROCK,MR. P,NANI,0
knockout,ANGELO,BELLE,SPROUT,BROCK,MR. P,NANI,0
gemGrab,CORDELIUS,SANDY,SHELLY,BUSTER,GENE,NITA,1
gemGrab,CORDELIUS,SANDY,SHELLY,BUSTER,GENE,NITA,1
gemGrab,CORDELIUS,SANDY,SHELLY,BUSTER,GENE,NITA,0
gemGrab,CHESTER,GALE,LILY,COLT,JESSIE,SURGE,1
gemGrab,CHESTER,GALE,LILY,COLT,JESSIE,SURGE,1
gemGrab,CHESTER,GALE,LILY,COLT,JESSIE,SURGE,0
brawlBall,AMBER,CHESTER,GRIFF,BERRY,MEG,SANDY,1
brawlBall,AMBER,CHESTER,GRIFF,BERRY,MEG,SANDY,1
hotZone,SANDY,STU,SURGE,BROCK,BUSTER,TICK,0
hotZone,SANDY,STU,SURGE,BROCK,BUSTER,TICK,0
gemGrab,BIBI,GALE,GRIFF,BYRON,CLANCY,RICO,1
gemGrab,BIBI,GALE,GRIFF,BYRON,CLANCY,RICO,1
gemGrab,BIBI,GALE,GRIFF,BYRON,CLANCY,RICO,0
knockout,GROM,LILY,RICO,CHESTER,GRIFF,MR. P,0
knockout,GROM,LILY,RICO,CHESTER,GRIFF,MR. P,0
hotZone,COLT,GALE,LILY,BUSTER,DYNAMIKE,RICO,0
hotZone,COLT,GALE,LILY,BUSTER,DYNAMIKE,RICO,0
heist,ANGELO,COLETTE,MELODIE,COLT,LOLA,PIPER,0
heist,ANGELO,COLETTE,MELODIE,COLT,LOLA,PIPER,0
knockout,BYRON,GALE,PIPER,ANGELO,BUSTER,MAX,1
knockout,BYRON,GALE,PIPER,ANGELO,BUSTER,MAX,1
knockout,ANGELO,BARLEY,BUSTER,GENE,PIPER,SPIKE,0
knockout,ANGELO,BARLEY,BUSTER,GENE,PIPER,SPIKE,0
bounty,BELLE,LILY,NANI,FANG,GENE,PIPER,0
bounty,BELLE,LILY,NANI,FANG,GENE,PIPER,0
bounty,GALE,JESSIE,TICK,BARLEY,CARL,EVE,1
bounty,GALE,JESSIE,TICK,BARLEY,CARL,EVE,1
bounty,ANGELO,CORDELIUS,TICK,BARLEY,CROW,SURGE,0
bounty,ANGELO,CORDELIUS,TICK,BARLEY,CROW,SURGE,0
knockout,BO,COLT,SPIKE,BYRON,CROW,TICK,0
knockout,BO,COLT,SPIKE,BYRON,CROW,TICK,0
heist,BELLE,NITA,RICO,COLT,MICO,PIPER,0
heist,BELLE,NITA,RICO,COLT,MICO,PIPER,1
heist,BELLE,NITA,RICO,COLT,MICO,PIPER,0
knockout,BARLEY,CROW,GENE,COLT,LEON,RICO,1
knockout,BARLEY,CROW,GENE,COLT,LEON,RICO,0
knockout,BARLEY,CROW,GENE,COLT,LEON,RICO,1
bounty,COLT,CROW,FANG,BELLE,EDGAR,SPIKE,0
bounty,COLT,CROW,FANG,BELLE,EDGAR,SPIKE,0
heist,BARLEY,EDGAR,JESSIE,COLT,DYNAMIKE,FRANK,1
heist,BARLEY,EDGAR,JESSIE,COLT,DYNAMIKE,FRANK,1
gemGrab,GALE,GENE,SANDY,BUSTER,JESSIE,NITA,1
gemGrab,GALE,GENE,SANDY,BUSTER,JESSIE,NITA,1
gemGrab,AMBER,BYRON,FRANK,DRACO,GENE,SURGE,0
gemGrab,AMBER,BYRON,FRANK,DRACO,GENE,SURGE,0
bounty,BUSTER,MAX,NANI,BROCK,GENE,LEON,0
bounty,BUSTER,MAX,NANI,BROCK,GENE,LEON,0
knockout,ANGELO,GRAY,MANDY,BARLEY,MEG,PIPER,1
knockout,ANGELO,GRAY,MANDY,BARLEY,MEG,PIPER,1
knockout,KIT,PEARL,PIPER,BELLE,BROCK,MEG,1
knockout,KIT,PEARL,PIPER,BELLE,BROCK,MEG,1
knockout,EVE,LEON,MANDY,BELLE,BYRON,PIPER,0
knockout,EVE,LEON,MANDY,BELLE,BYRON,PIPER,1
knockout,EVE,LEON,MANDY,BELLE,BYRON,PIPER,0
gemGrab,CHARLIE,GRAY,SANDY,BYRON,CHESTER,RICO,1
gemGrab,CHARLIE,GRAY,SANDY,BYRON,CHESTER,RICO,1
hotZone,GALE,GRIFF,MEG,BARLEY,BO,CHESTER,1
hotZone,GALE,GRIFF,MEG,BARLEY,BO,CHESTER,1
knockout,ASH,LARRY & LAWRIE,MEG,BUSTER,GENE,WILLOW,1
knockout,ASH,LARRY & LAWRIE,MEG,BUSTER,GENE,WILLOW,1
bounty,BARLEY,BIBI,CHESTER,BERRY,GENE,JACKY,0
bounty,BARLEY,BIBI,CHESTER,BERRY,GENE,JACKY,1
bounty,BARLEY,BIBI,CHESTER,BERRY,GENE,JACKY,0
hotZone,BARLEY,CHESTER,JESSIE,BROCK,BUSTER,GUS,0
hotZone,BARLEY,CHESTER,JESSIE,BROCK,BUSTER,GUS,1
hotZone,BARLEY,CHESTER,JESSIE,BROCK,BUSTER,GUS,0
bounty,BYRON,MANDY,MR. P,GENE,LARRY & LAWRIE,PIPER,0
bounty,BYRON,MANDY,MR. P,GENE,LARRY & LAWRIE,PIPER,0
bounty,DYNAMIKE,GALE,SHELLY,BARLEY,CARL,CHESTER,1
bounty,DYNAMIKE,GALE,SHELLY,BARLEY,CARL,CHESTER,1
heist,BIBI,GALE,NITA,COLT,RICO,SPIKE,0
heist,BIBI,GALE,NITA,COLT,RICO,SPIKE,0
bounty,ANGELO,COLT,MANDY,DYNAMIKE,GRAY,PIPER,0
bounty,ANGELO,COLT,MANDY,DYNAMIKE,GRAY,PIPER,0
heist,AMBER,BROCK,PIPER,CROW,GALE,NANI,1
heist,AMBER,BROCK,PIPER,CROW,GALE,NANI,1
gemGrab,ANGELO,CLANCY,GALE,BYRON,CHESTER,FRANK,0
gemGrab,ANGELO,CLANCY,GALE,BYRON,CHESTER,FRANK,1
gemGrab,ANGELO,CLANCY,GALE,BYRON,CHESTER,FRANK,0
brawlBall,EDGAR,SANDY,SPIKE,BIBI,CROW,SURGE,0
brawlBall,EDGAR,SANDY,SPIKE,BIBI,CROW,SURGE,0
brawlBall,GALE,RICO,SPIKE,COLT,CORDELIUS,FRANK,0
brawlBall,GALE,RICO,SPIKE,COLT,CORDELIUS,FRANK,0
bounty,BYRON,NANI,PIPER,COLT,GENE,MANDY,1
bounty,BYRON,NANI,PIPER,COLT,GENE,MANDY,1
brawlBall,CLANCY,COLT,SURGE,BARLEY,JACKY,SANDY,1
brawlBall,CLANCY,COLT,SURGE,BARLEY,JACKY,SANDY,1
brawlBall,CLANCY,COLT,SURGE,BARLEY,JACKY,SANDY,0
bounty,COLT,MANDY,PIPER,ANGELO,GENE,GUS,0
bounty,COLT,MANDY,PIPER,ANGELO,GENE,GUS,1
bounty,COLT,MANDY,PIPER,ANGELO,GENE,GUS,0
bounty,BARLEY,BUSTER,MEG,EVE,LARRY & LAWRIE,NITA,0
bounty,BARLEY,BUSTER,MEG,EVE,LARRY & LAWRIE,NITA,0
brawlBall,LARRY & LAWRIE,LILY,PIPER,BUSTER,CHESTER,RICO,0
brawlBall,LARRY & LAWRIE,LILY,PIPER,BUSTER,CHESTER,RICO,0
brawlBall,LARRY & LAWRIE,LILY,PIPER,BUSTER,CHESTER,RICO,1
knockout,GRAY,LILY,TICK,ANGELO,GENE,SPROUT,0
knockout,GRAY,LILY,TICK,ANGELO,GENE,SPROUT,0
hotZone,ANGELO,DYNAMIKE,FANG,FRANK,LARRY & LAWRIE,LILY,1
hotZone,ANGELO,DYNAMIKE,FANG,FRANK,LARRY & LAWRIE,LILY,1
heist,BARLEY,COLETTE,CORDELIUS,CHUCK,JESSIE,NITA,0
heist,BARLEY,COLETTE,CORDELIUS,CHUCK,JESSIE,NITA,0
hotZone,BELLE,CHESTER,LOU,AMBER,EMZ,JESSIE,0
hotZone,BELLE,CHESTER,LOU,AMBER,EMZ,JESSIE,0
hotZone,FRANK,LARRY & LAWRIE,LILY,BERRY,EDGAR,JACKY,0
hotZone,FRANK,LARRY & LAWRIE,LILY,BERRY,EDGAR,JACKY,1
hotZone,FRANK,LARRY & LAWRIE,LILY,BERRY,EDGAR,JACKY,0
gemGrab,BUSTER,MEG,TARA,8-BIT,COLETTE,LILY,0
gemGrab,BUSTER,MEG,TARA,8-BIT,COLETTE,LILY,1
gemGrab,BUSTER,MEG,TARA,8-BIT,COLETTE,LILY,0
hotZone,BIBI,COLETTE,GALE,BERRY,FRANK,LILY,0
hotZone,BIBI,COLETTE,GALE,BERRY,FRANK,LILY,0
knockout,BROCK,COLT,KIT,BONNIE,PIPER,SPROUT,1
knockout,BROCK,COLT,KIT,BONNIE,PIPER,SPROUT,1
hotZone,BARLEY,BO,RICO,JESSIE,KIT,SURGE,0
hotZone,BARLEY,BO,RICO,JESSIE,KIT,SURGE,0
gemGrab,BO,GENE,SURGE,AMBER,BUSTER,JESSIE,1
gemGrab,BO,GENE,SURGE,AMBER,BUSTER,JESSIE,1
gemGrab,CHESTER,COLT,RICO,BYRON,GENE,MEG,1
gemGrab,CHESTER,COLT,RICO,BYRON,GENE,MEG,1
knockout,ANGELO,BYRON,GENE,CHESTER,COLT,MANDY,0
knockout,ANGELO,BYRON,GENE,CHESTER,COLT,MANDY,0
brawlBall,BYRON,COLT,GALE,LARRY & LAWRIE,LILY,SURGE,0
brawlBall,BYRON,COLT,GALE,LARRY & LAWRIE,LILY,SURGE,0
heist,JESSIE,MELODIE,NANI,ANGELO,BYRON,COLETTE,1
heist,JESSIE,MELODIE,NANI,ANGELO,BYRON,COLETTE,1
heist,JESSIE,MELODIE,NANI,ANGELO,BYRON,COLETTE,0
gemGrab,BO,BUSTER,EMZ,AMBER,COLT,JESSIE,1
gemGrab,BO,BUSTER,EMZ,AMBER,COLT,JESSIE,1
brawlBall,BYRON,CHESTER,COLT,GALE,SANDY,STU,0
brawlBall,BYRON,CHESTER,COLT,GALE,SANDY,STU,0
gemGrab,GALE,JESSIE,LOLA,CHESTER,GENE,SPIKE,1
gemGrab,GALE,JESSIE,LOLA,CHESTER,GENE,SPIKE,1
gemGrab,CHESTER,GENE,MEG,CLANCY,NITA,RICO,0
gemGrab,CHESTER,GENE,MEG,CLANCY,NITA,RICO,0
knockout,BROCK,MANDY,RICO,BYRON,GRAY,PIPER,1
knockout,BROCK,MANDY,RICO,BYRON,GRAY,PIPER,0
knockout,BROCK,MANDY,RICO,BYRON,GRAY,PIPER,1
knockout,GRAY,GROM,R-T,GENE,MR. P,PIPER,0
knockout,GRAY,GROM,R-T,GENE,MR. P,PIPER,0
gemGrab,CHESTER,COLT,LEON,EMZ,MEG,SANDY,1
gemGrab,CHESTER,COLT,LEON,EMZ,MEG,SANDY,1
brawlBall,CHESTER,LARRY & LAWRIE,SURGE,CLANCY,GALE,MR. P,0
brawlBall,CHESTER,LARRY & LAWRIE,SURGE,CLANCY,GALE,MR. P,0
brawlBall,CHESTER,LARRY & LAWRIE,SURGE,CLANCY,GALE,MR. P,1
hotZone,AMBER,BARLEY,SPROUT,GALE,LARRY & LAWRIE,SQUEAK,1
hotZone,AMBER,BARLEY,SPROUT,GALE,LARRY & LAWRIE,SQUEAK,1
bounty,EVE,LARRY & LAWRIE,SQUEAK,DYNAMIKE,MEG,SPIKE,0
bounty,EVE,LARRY & LAWRIE,SQUEAK,DYNAMIKE,MEG,SPIKE,0
hotZone,BARLEY,GALE,JESSIE,SANDY,SPIKE,STU,1
hotZone,BARLEY,GALE,JESSIE,SANDY,SPIKE,STU,0
hotZone,BARLEY,GALE,JESSIE,SANDY,SPIKE,STU,1
hotZone,ASH,JESSIE,SURGE,AMBER,BIBI,SPIKE,1
hotZone,ASH,JESSIE,SURGE,AMBER,BIBI,SPIKE,0
hotZone,ASH,JESSIE,SURGE,AMBER,BIBI,SPIKE,1
knockout,LEON,MR. P,SPROUT,ANGELO,BO,DYNAMIKE,0
knockout,LEON,MR. P,SPROUT,ANGELO,BO,DYNAMIKE,0
knockout,ANGELO,HANK,SPROUT,AMBER,LARRY & LAWRIE,MAX,1
knockout,ANGELO,HANK,SPROUT,AMBER,LARRY & LAWRIE,MAX,1
knockout,ANGELO,HANK,SPROUT,AMBER,LARRY & LAWRIE,MAX,0
gemGrab,AMBER,BUSTER,SURGE,CHESTER,GALE,SANDY,1
gemGrab,AMBER,BUSTER,SURGE,CHESTER,GALE,SANDY,1
gemGrab,AMBER,GALE,PIPER,BO,GENE,SANDY,0
gemGrab,AMBER,GALE,PIPER,BO,GENE,SANDY,0
gemGrab,ANGELO,EDGAR,JESSIE,CHESTER,PIPER,RICO,1
gemGrab,ANGELO,EDGAR,JESSIE,CHESTER,PIPER,RICO,1
knockout,BYRON,COLT,KIT,ANGELO,GENE,PIPER,1
knockout,BYRON,COLT,KIT,ANGELO,GENE,PIPER,1
bounty,BYRON,LOLA,PIPER,COLT,DYNAMIKE,RICO,0
bounty,BYRON,LOLA,PIPER,COLT,DYNAMIKE,RICO,0
heist,COLT,JESSIE,PIPER,CROW,GENE,LEON,1
heist,COLT,JESSIE,PIPER,CROW,GENE,LEON,1
brawlBall,BUSTER,MEG,TICK,CLANCY,COLT,RICO,1
brawlBall,BUSTER,MEG,TICK,CLANCY,COLT,RICO,1
hotZone,CLANCY,DYNAMIKE,FRANK,LARRY & LAWRIE,SURGE,TARA,1
hotZone,CLANCY,DYNAMIKE,FRANK,LARRY & LAWRIE,SURGE,TARA,1
bounty,LARRY & LAWRIE,NANI,RICO,BELLE,COLT,MANDY,0
bounty,LARRY & LAWRIE,NANI,RICO,BELLE,COLT,MANDY,1
bounty,LARRY & LAWRIE,NANI,RICO,BELLE,COLT,MANDY,0
heist,BIBI,COLT,NITA,LARRY & LAWRIE,PIPER,RICO,0
heist,BIBI,COLT,NITA,LARRY & LAWRIE,PIPER,RICO,1
heist,BIBI,COLT,NITA,LARRY & LAWRIE,PIPER,RICO,0
brawlBall,EDGAR,LARRY & LAWRIE,RICO,CHESTER,JESSIE,NITA,1
brawlBall,EDGAR,LARRY & LAWRIE,RICO,CHESTER,JESSIE,NITA,1
knockout,MANDY,RICO,SPIKE,EVE,JESSIE,SPROUT,1
knockout,MANDY,RICO,SPIKE,EVE,JESSIE,SPROUT,1
knockout,BROCK,LEON,RICO,BARLEY,GENE,MAX,1
knockout,BROCK,LEON,RICO,BARLEY,GENE,MAX,1
heist,BELLE,COLETTE,EVE,CROW,MELODIE,PIPER,1
heist,BELLE,COLETTE,EVE,CROW,MELODIE,PIPER,1
knockout,BELLE,BYRON,PIPER,BROCK,NANI,R-T,1
knockout,BELLE,BYRON,PIPER,BROCK,NANI,R-T,1
hotZone,BARLEY,BYRON,CHESTER,ANGELO,BERRY,KIT,0
hotZone,BARLEY,BYRON,CHESTER,ANGELO,BERRY,KIT,0
hotZone,BARLEY,BYRON,CHESTER,ANGELO,BERRY,KIT,1
hotZone,BARLEY,DARRYL,MEG,BYRON,GALE,STU,1
hotZone,BARLEY,DARRYL,MEG,BYRON,GALE,STU,1
bounty,BYRON,GENE,GRAY,BELLE,CROW,R-T,0
bounty,BYRON,GENE,GRAY,BELLE,CROW,R-T,0
hotZone,BERRY,MEG,RICO,CHESTER,GALE,SHELLY,1
hotZone,BERRY,MEG,RICO,CHESTER,GALE,SHELLY,1
knockout,CHESTER,MEG,PIPER,ANGELO,BERRY,BROCK,0
knockout,CHESTER,MEG,PIPER,ANGELO,BERRY,BROCK,0
hotZone,CHESTER,CORDELIUS,SURGE,BARLEY,BYRON,MEG,0
hotZone,CHESTER,CORDELIUS,SURGE,BARLEY,BYRON,MEG,0
knockout,CHESTER,GENE,MEG,BYRON,MANDY,PIPER,1
knockout,CHESTER,GENE,MEG,BYRON,MANDY,PIPER,0
knockout,CHESTER,GENE,MEG,BYRON,MANDY,PIPER,1
knockout,CHESTER,GENE,MEG,GROM,MANDY,PIPER,0
knockout,CHESTER,GENE,MEG,GROM,MANDY,PIPER,0
gemGrab,FRANK,GENE,MEG,CHESTER,CORDELIUS,LARRY & LAWRIE,1
gemGrab,FRANK,GENE,MEG,CHESTER,CORDELIUS,LARRY & LAWRIE,1
gemGrab,FRANK,GENE,MEG,CHESTER,CORDELIUS,LARRY & LAWRIE,0
knockout,BROCK,MANDY,RICO,BELLE,CHESTER,MEG,1
knockout,BROCK,MANDY,RICO,BELLE,CHESTER,MEG,1
knockout,BARLEY,BYRON,SPIKE,ANGELO,CHESTER,MEG,1
knockout,BARLEY,BYRON,SPIKE,ANGELO,CHESTER,MEG,1
bounty,CHESTER,HANK,RICO,EVE,GALE,LARRY & LAWRIE,1
bounty,CHESTER,HANK,RICO,EVE,GALE,LARRY & LAWRIE,1
bounty,CHESTER,HANK,RICO,EVE,GALE,LARRY & LAWRIE,0
knockout,BYRON,EVE,NANI,CHESTER,GENE,R-T,1
knockout,BYRON,EVE,NANI,CHESTER,GENE,R-T,1
gemGrab,BUZZ,GALE,MAX,CHESTER,GUS,MR. P,1
gemGrab,BUZZ,GALE,MAX,CHESTER,GUS,MR. P,1
